Prefix, Date, Type, Value, Status 
rasp1, Mon Oct 20 21:25:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:26:40 2014, humidity, 58.10, 0 
rasp1, Mon Oct 20 21:26:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:27:40 2014, humidity, 58.00, 0 
rasp1, Mon Oct 20 21:27:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:28:40 2014, humidity, 59.70, 0 
rasp1, Mon Oct 20 21:28:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:29:40 2014, humidity, 61.50, 0 
rasp1, Mon Oct 20 21:29:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:30:40 2014, humidity, 60.10, 0 
rasp1, Mon Oct 20 21:30:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:31:40 2014, humidity, 60.70, 0 
rasp1, Mon Oct 20 21:31:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:32:40 2014, humidity, 56.40, 0 
rasp1, Mon Oct 20 21:32:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:33:40 2014, humidity, 56.10, 0 
rasp1, Mon Oct 20 21:33:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:34:40 2014, humidity, 58.30, 0 
rasp1, Mon Oct 20 21:34:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:35:40 2014, humidity, 59.60, 0 
rasp1, Mon Oct 20 21:35:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:36:40 2014, humidity, 58.00, 0 
rasp1, Mon Oct 20 21:36:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:37:40 2014, humidity, 57.80, 0 
rasp1, Mon Oct 20 21:37:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:38:40 2014, humidity, 57.80, 0 
rasp1, Mon Oct 20 21:38:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:39:40 2014, humidity, 58.50, 0 
rasp1, Mon Oct 20 21:39:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:40:40 2014, humidity, 59.50, 0 
rasp1, Mon Oct 20 21:40:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:41:40 2014, humidity, 60.40, 0 
rasp1, Mon Oct 20 21:41:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:42:40 2014, humidity, 59.70, 0 
rasp1, Mon Oct 20 21:42:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:43:40 2014, humidity, 58.20, 0 
rasp1, Mon Oct 20 21:43:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:44:40 2014, humidity, 57.60, 0 
rasp1, Mon Oct 20 21:44:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:45:40 2014, humidity, 55.90, 0 
rasp1, Mon Oct 20 21:45:40 2014, temperature, 35.40, 0 
rasp1, Mon Oct 20 21:46:40 2014, humidity, 56.30, 0 
rasp1, Mon Oct 20 21:46:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:47:40 2014, humidity, 56.30, 0 
rasp1, Mon Oct 20 21:47:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:48:40 2014, humidity, 55.80, 0 
rasp1, Mon Oct 20 21:48:40 2014, temperature, 35.30, 0 
rasp1, Mon Oct 20 21:49:40 2014, humidity, 56.10, 0 
rasp1, Mon Oct 20 21:49:40 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 21:50:40 2014, humidity, 58.70, 0 
rasp1, Mon Oct 20 21:50:40 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 21:51:40 2014, humidity, 58.40, 0 
rasp1, Mon Oct 20 21:51:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 21:52:40 2014, humidity, 57.80, 0 
rasp1, Mon Oct 20 21:52:40 2014, temperature, 35.20, 0 
rasp1, Mon Oct 20 21:53:40 2014, humidity, 57.10, 0 
rasp1, Mon Oct 20 21:53:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 21:54:40 2014, humidity, 57.00, 0 
rasp1, Mon Oct 20 21:54:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 21:55:40 2014, humidity, 57.00, 0 
rasp1, Mon Oct 20 21:55:40 2014, temperature, 35.10, 0 
rasp1, Mon Oct 20 21:56:40 2014, humidity, 55.80, 0 
